UBC_id,Date of Collection,CITY/LOCATION,"PROVINCE/STATE, COUNTRY",SOURCE,Outbreak number/ Sporadic,Total reads,Reads map to assemalage A (WB),% map to A,Reads map to assemblage B (GS_B),% map to B,Reads map to neither,% Neither assemblage,Assembly,Coverage 
ATCC30888/13,1985-08-16,Portland,"OR, USA",HUMAN,Sporadic,8260818,8237278,99.71504033,4710,0.057016145,18830,0.227943528,A,170.321
ATCC30957/120_3/50803,2014-08-08,Betheda,"MD, USA",HUMAN,Sporadic,2482222,2479630,99.89557743,684,0.027555956,1908,0.076866614,A,47.779
ATCC50163/89,1992-07-03,Philadelphia,"PA, USA",CAT,Sporadic,3055704,3020880,98.86036082,7606,0.248911544,27218,0.890727636,A,61.3231
ATCC50170/93,1992-07-03,Madison,"WI, USA",SHEEP,Sporadic,1692554,1688351,99.75167705,2039,0.12046883,2164,0.127854119,A,31.9342
B5/19,1987-07-31,Calgary,"AB, CANADA",BEAVER,Sporadic,4460204,4452011,99.81630885,5253,0.117774882,2940,0.065916268,A,94.7779
BE-1(IP-0482:1)/15,1985-06-08,Banff,"AB, CANADA",BEAVER,Sporadic,2912396,2908917,99.88054509,1295,0.044465107,2184,0.074989802,A,54.3104
BE-2(IPO583:1)/14,1985-06-08,Banff,"AB, CANADA",BEAVER,Sporadic,3482508,3475913,99.81062499,3287,0.094386,3308,0.094989014,A,71.7374
BTW/109,1993-06-01,Botwood,"NL, CANADA",WATER,5,1716242,1711613,99.73028279,2061,0.12008796,2568,0.149629248,A,33.2642
CB2/108,1993-06-01,Cornerbrook,"NL, CANADA",WATER,5,1255384,1251501,99.69069225,2219,0.176758665,1664,0.132549085,A,24.2518
D3/18,1987-07-31,Calgary,"AB, CANADA",DOG,Sporadic,3644816,3640397,99.87875931,1703,0.046723895,2716,0.074516793,A,70.8912
HAMILTON7/75,1991-06-19,Hamilton,"North Island, NEW ZEALAND",HUMAN,Sporadic,4708060,4701143,99.85308174,3057,0.064931203,3860,0.08198706,A,95.1491
HAMILTON84/76,1991-06-19,Hamilton,"North Island, NEW ZEALAND",HUMAN,Sporadic,1929232,1924666,99.76332551,1866,0.096722426,2700,0.139952064,A,37.7055
MONASTASHE/6,1986-09-01,Monastashe River,"WA, USA",BEAVER,Sporadic,3435252,3429647,99.83683875,2795,0.081362299,2810,0.081798948,A,65.5748
S1/16,1987-07-31,near Strathmore,"AB, CANADA",SHEEP,Sporadic,2040330,2036170,99.79611141,1716,0.084104042,2444,0.119784545,A,41.195
VANC/85/UBC/1,1985-02-07,Hornby Island,"BC, CANADA",HUMAN,Sporadic,3426562,3421010,99.8379717,2450,0.071500238,3102,0.090528057,A,67.0957
VANC/85/UBC/2,1985-03-14,Smithers,"BC, CANADA",HUMAN,Sporadic,4845878,4741037,97.83649114,30203,0.623271985,74638,1.540236878,A,89.1943
VANC/85/UBC/5,1985-03-26,Coquitlam,"BC, CANADA",HUMAN,Sporadic,8177114,8164872,99.85028948,6366,0.077851428,5876,0.071859094,A,160.529
VANC/85/UBC/7,1985-04-11,"Pantage Creek, Quesnel","BC, CANADA",BEAVER,Sporadic,5187666,5120188,98.6992609,20128,0.387997223,47350,0.912741877,A,95.0742
VANC/85/UBC/9,1985-04-17,"Zimacord River, Terrace","BC, CANADA",BEAVER,Sporadic,5852176,26355,0.450345307,5737085,98.033364,88736,1.516290693,B,103.297
VANC/86/UBC/3,1986-09-11,Ashcroft,"BC, CANADA",HUMAN,Sporadic,3201016,3126695,97.67820592,11159,0.348608067,63162,1.973186013,A,60.4254
VANC/87/UBC/22,1987-10-01,North Vancouver,"BC, CANADA",HUMAN,Sporadic,2737128,2656675,97.0606782,23309,0.851586042,57144,2.087735758,A,53.3381
