Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolate,Lat_Lon,Isolation_Source,Sample_Type,env_biome,Genotype,TISSUE,sex,Sample_name,collected_by,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,dev_stage,Strain,ArrayExpress-SPECIES,AssemblyName,Host,isol_growth_condt,estimated_size,Ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,CULTURE_COLLECTION,Tax_ID,Type,Altitude,biotic_relationship,Cultivar,Ecotype,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,Sample_Description,Age,BIOMATERIAL_PROVIDER,BREED,isolation-source,health_state,host_body_habitat,host_tissue_sampled,sample_comment
SRR3177738,WGS,502,2158829916,PRJNA280606,SAMN04494398,1233282818,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1592101,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:32:00Z,1,ATCC:30888,SRP056976,ATCC30888:13,"Microbe\, viral or environmental",1985-08-16,USA,North America,USA:Portland,ATCC30888/13,45.52 N 122.68 W,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177739,WGS,502,924922450,PRJNA280606,SAMN04494399,657432516,UNIVERSITY OF BRITISH COLUMBIA,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1592162,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:30:00Z,1,ATCC:50830,SRP056976,ATCC50830:120_3,"Microbe\, viral or environmental",2014-08-08,USA,North America,USA:Betheda,ATCC50830/120_3,38.98 N 77.09 W,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177740,WGS,502,2150612176,PRJNA280606,SAMN04494408,1461654416,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX1592163,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:56:00Z,1,HAMILTON7/75,SRP056976,HAMILTON7/75,"Microbe\, viral or environmental",1991-06-19,New Zealand,Oceania,New Zealand: Hamilton,HAMILTON7/75,37.78 S 175.28 E,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177741,WGS,502,1028956428,PRJNA280606,SAMN04494409,731152249,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX1592164,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:57:00Z,1,HAMILTON84/76,SRP056976,HAMILTON84/76,"Microbe\, viral or environmental",1991-06-19,New Zealand,Oceania,New Zealand: Hamilton,HAMILTON84/76,37.78 S 175.28 E,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177742,WGS,476,860087256,PRJNA280606,SAMN04494410,504142428,UNIVERSITY OF BRITISH COLUMBIA,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1592165,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:52:00Z,1,MONASTASHE/6,SRP056976,MONASTASHE/6,"Microbe\, viral or environmental",1986-09-01,USA,North America,USA:Monastashe River,MONASTASHE/6,46.86 N 120.35 W,BEAVER,trophozoites,watershed,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177743,WGS,502,1155481010,PRJNA280606,SAMN04494411,817990518,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1592166,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:53:00Z,1,S1/16,SRP056976,S1/16,"Microbe\, viral or environmental",1987-07-31,Canada,North America,Canada: near Strathmore,S1/16,51.04 N 113.3 W,sheep,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177744,WGS,476,842033052,PRJNA280606,SAMN04494412,486380410,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1592171,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:52:00Z,1,VANC/85/UBC/1,SRP056976,VANC/85/UBC/1,"Microbe\, viral or environmental",1985-02-07,Canada,North America,Canada: Hornby Island,VANC/85/UBC/1,49.53 N 124.68 W,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177745,WGS,502,1301523854,PRJNA280606,SAMN04494413,776993559,UNIVERSITY OF BRITISH COLUMBIA,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX1592177,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:54:00Z,1,VANC/85/UBC/2,SRP056976,VANC/85/UBC/2,"Microbe\, viral or environmental",1985-03-14,Canada,North America,Canada: Smithers,VANC/85/UBC/2,54.78 N 127.17 W,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177746,WGS,502,2206780454,PRJNA280606,SAMN04494414,1314523428,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1592186,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:58:00Z,1,VANC/85/UBC/5,SRP056976,VANC/85/UBC/5,"Microbe\, viral or environmental",1985-03-26,Canada,North America,Canada: Coquitlam,VANC/85/UBC/5,49.28 N 122.79 W,human,trophozoites,giardiasis,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR3177747,WGS,502,1365085588,PRJNA280606,SAMN04494415,808070377,UNIVERSITY OF BRITISH COLUMBIA,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1592196,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2017-04-30T00:00:00Z,2016-02-18T15:56:00Z,1,VANC/85/UBC/7,SRP056976,VANC/85/UBC/7,"Microbe\, viral or environmental",1985-04-11,Canada,North America,Canada: Quesnel,VANC/85/UBC/7,52.98 N 122.49 W,BEAVER,trophozoites,watershed,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
