sample	runtype	genome_size	species	r1	r2	extra
SRX1592403_SRR3177952	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592403_SRR3177952_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592403_SRR3177952_2.fastq.gz	
ERX388948_ERR422655	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX388948_ERR422655_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX388948_ERR422655_2.fastq.gz	
SRX1592164_SRR3177741	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592164_SRR3177741_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592164_SRR3177741_2.fastq.gz	
SRX1592347_SRR3177927	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592347_SRR3177927_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592347_SRR3177927_2.fastq.gz	
SRX1592440_SRR3178018	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592440_SRR3178018_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592440_SRR3178018_2.fastq.gz	
SRX1592432_SRR3178013	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592432_SRR3178013_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592432_SRR3178013_2.fastq.gz	
SRX1592295_SRR3177763	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592295_SRR3177763_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592295_SRR3177763_2.fastq.gz	
ERX388949_ERR422656	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX388949_ERR422656_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX388949_ERR422656_2.fastq.gz	
SRX7013558_SRR10300881	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX7013558_SRR10300881_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX7013558_SRR10300881_2.fastq.gz	
SRX982617_SRR1957167	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX982617_SRR1957167_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX982617_SRR1957167_2.fastq.gz	
SRX1592177_SRR3177745	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592177_SRR3177745_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592177_SRR3177745_2.fastq.gz	
SRX1592354_SRR3177934	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592354_SRR3177934_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592354_SRR3177934_2.fastq.gz	
SRX1592380_SRR3177949	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592380_SRR3177949_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592380_SRR3177949_2.fastq.gz	
SRX6745952-SRR10007652	ont	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX6745952-SRR10007652.fastq.gz		
ERX284496_ERR311215	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284496_ERR311215_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284496_ERR311215_2.fastq.gz	
ERX284471_ERR311190	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284471_ERR311190_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284471_ERR311190_2.fastq.gz	
ERX284469_ERR311188	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284469_ERR311188_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284469_ERR311188_2.fastq.gz	
SRX1592413_SRR3177955	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592413_SRR3177955_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592413_SRR3177955_2.fastq.gz	
SRX1592165_SRR3177742	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592165_SRR3177742_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/SRX1592165_SRR3177742_2.fastq.gz	
ERX284470_ERR311189	paired-end	0	UNKNOWN_SPECIES	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284470_ERR311189_1.fastq.gz	/project/60006/mdprieto/raw_data/giardia/repositories/fastq/ERX284470_ERR311189_2.fastq.gz	
