id	accession	run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	parent_study	submission_accession	run_alias	experiment_alias	sample_alias	study_alias	library_layout	library_selection	library_source	library_strategy	library_name	instrument_model	instrument_platform	base_count	read_count	tax_id	scientific_name	sample_title	experiment_title	study_title	description	sample_description	fastq_md5	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_aspera	fastq_1	fastq_2	md5_1	md5_2	single_end	location	collection_date_year
ERX284467_ERR311186	SAMEA1971072	ERR311186	ERX284467	SAMEA1971072	ERS184160	PRJEB3213	ERP001716		ERA237528	SC_RUN_8945_1#2	SC_EXP_8945_1#2	Gd_B-sc-2012-10-29T10:10:48Z-1503588	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	6141434	Illumina MiSeq	ILLUMINA	923963100	3079877	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	Illumina MiSeq paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina MiSeq paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	cb46971662ee0951b9d83bf7ba318117;323eb2f868c92a219e9172b7a36cef36	372864414;413735832	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311186/ERR311186_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311186/ERR311186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311186/ERR311186_2.fastq.gz	cb46971662ee0951b9d83bf7ba318117	323eb2f868c92a219e9172b7a36cef36	FALSE	unknown	unknown
ERX284456_ERR311175	SAMEA2018552	ERR311175	ERX284456	SAMEA2018552	ERS163277	PRJEB3213	ERP001716		ERA237528	SC_RUN_8441_8#6	SC_EXP_8441_8#6	M631-sc-2012-08-15T16:31:30Z-1466521	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	5742484	Illumina HiSeq 2000	ILLUMINA	1417145800	7085729	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	Illumina HiSeq 2000 paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina HiSeq 2000 paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	c29f2f8cb1428140365b310d1fab6227;0c7f545d2994aa6bc2397f8560095509	632451252;676024970	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311175/ERR311175_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311175/ERR311175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311175/ERR311175_2.fastq.gz	c29f2f8cb1428140365b310d1fab6227	0c7f545d2994aa6bc2397f8560095509	FALSE	unknown	unknown
ERX284465_ERR311184	SAMEA2018676	ERR311184	ERX284465	SAMEA2018676	ERS163286	PRJEB3213	ERP001716		ERA237528	SC_RUN_8441_8#15	SC_EXP_8441_8#15	M1709-sc-2012-08-15T16:31:36Z-1466530	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	5742493	Illumina HiSeq 2000	ILLUMINA	1612495200	8062476	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	Illumina HiSeq 2000 paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina HiSeq 2000 paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	b0af72cd44b14e583d5aeab3aa0d5b94;3e72d7c0c5cd7fe59e00f69b0479ee1b	704429263;749736186	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311184/ERR311184_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311184/ERR311184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311184/ERR311184_2.fastq.gz	b0af72cd44b14e583d5aeab3aa0d5b94	3e72d7c0c5cd7fe59e00f69b0479ee1b	FALSE	unknown	unknown
ERX284455_ERR311174	SAMEA2018796	ERR311174	ERX284455	SAMEA2018796	ERS163276	PRJEB3213	ERP001716		ERA237528	SC_RUN_8441_8#5	SC_EXP_8441_8#5	MB378-sc-2012-08-15T16:31:29Z-1466520	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	5742483	Illumina HiSeq 2000	ILLUMINA	1560996200	7804981	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	Illumina HiSeq 2000 paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina HiSeq 2000 paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	41fa55e6f45be1f7ca1aa60d26a645fe;9981e20cdc9f34216b4342955a261aaa	699009116;748681566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311174/ERR311174_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311174/ERR311174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311174/ERR311174_2.fastq.gz	41fa55e6f45be1f7ca1aa60d26a645fe	9981e20cdc9f34216b4342955a261aaa	FALSE	unknown	unknown
ERX284457_ERR311176	SAMEA2020285	ERR311176	ERX284457	SAMEA2020285	ERS163278	PRJEB3213	ERP001716		ERA237528	SC_RUN_8441_8#7	SC_EXP_8441_8#7	M880-sc-2012-08-15T16:31:30Z-1466522	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	5742485	Illumina HiSeq 2000	ILLUMINA	550728000	2753640	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	Illumina HiSeq 2000 paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina HiSeq 2000 paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	c9bf782d6c6a03f5a6bc9e7deb663e95;03dc9e91c8bbd9678465121fec594a1c	240667395;256985268	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311176/ERR311176_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311176/ERR311176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311176/ERR311176_2.fastq.gz	c9bf782d6c6a03f5a6bc9e7deb663e95	03dc9e91c8bbd9678465121fec594a1c	FALSE	unknown	unknown
ERX284460_ERR311179	SAMEA2020286	ERR311179	ERX284460	SAMEA2020286	ERS163281	PRJEB3213	ERP001716		ERA237528	SC_RUN_8441_8#10	SC_EXP_8441_8#10	M1166-sc-2012-08-15T16:31:33Z-1466525	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	5742488	Illumina HiSeq 2000	ILLUMINA	1181564000	5907820	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	Illumina HiSeq 2000 paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina HiSeq 2000 paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-08-15; Giardia intestinalis	98f34d60b460ffa0212322c5583c2797;b4c89039a936a22889642cb2930995bb	524030166;559542910	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311179/ERR311179_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311179/ERR311179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311179/ERR311179_2.fastq.gz	98f34d60b460ffa0212322c5583c2797	b4c89039a936a22889642cb2930995bb	FALSE	unknown	unknown
ERX284470_ERR311189	SAMEA2033330	ERR311189	ERX284470	SAMEA2033330	ERS184163	PRJEB3213	ERP001716		ERA237528	SC_RUN_8945_1#5	SC_EXP_8945_1#5	Gd_C74-sc-2012-10-29T10:11:03Z-1503591	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	6141437	Illumina MiSeq	ILLUMINA	763239600	2544132	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	Illumina MiSeq paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina MiSeq paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	c28c203939ff0133548a1cbb4efb82aa;5661fa2869c97214fb1b1d9875cbcb9c	305563881;334996778	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311189/ERR311189_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311189/ERR311189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311189/ERR311189_2.fastq.gz	c28c203939ff0133548a1cbb4efb82aa	5661fa2869c97214fb1b1d9875cbcb9c	FALSE	unknown	unknown
ERX284468_ERR311187	SAMEA2033331	ERR311187	ERX284468	SAMEA2033331	ERS184165	PRJEB3213	ERP001716		ERA237528	SC_RUN_8945_1#3	SC_EXP_8945_1#3	Gd_C56-sc-2012-10-29T10:15:51Z-1503589	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	6141435	Illumina MiSeq	ILLUMINA	553985400	1846618	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	Illumina MiSeq paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina MiSeq paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	89d92991ffa9b02e891dd68d90d8268d;77c706dfc745f8f2942b6c1ca1f55586	226473816;245920481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311187/ERR311187_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311187/ERR311187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311187/ERR311187_2.fastq.gz	89d92991ffa9b02e891dd68d90d8268d	77c706dfc745f8f2942b6c1ca1f55586	FALSE	unknown	unknown
ERX284469_ERR311188	SAMEA2035757	ERR311188	ERX284469	SAMEA2035757	ERS184162	PRJEB3213	ERP001716		ERA237528	SC_RUN_8945_1#4	SC_EXP_8945_1#4	Gd_C70-sc-2012-10-29T10:10:58Z-1503590	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	6141436	Illumina MiSeq	ILLUMINA	617016600	2056722	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	Illumina MiSeq paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina MiSeq paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	fe14687ce2a9f05fa27df2922ee35feb;0d150bf4270b32f40d7441ffae6115d1	244528597;262857844	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311188/ERR311188_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311188/ERR311188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311188/ERR311188_2.fastq.gz	fe14687ce2a9f05fa27df2922ee35feb	0d150bf4270b32f40d7441ffae6115d1	FALSE	unknown	unknown
ERX284466_ERR311185	SAMEA2035758	ERR311185	ERX284466	SAMEA2035758	ERS184164	PRJEB3213	ERP001716		ERA237528	SC_RUN_8945_1#1	SC_EXP_8945_1#1	Gd_A-sc-2012-10-29T10:15:45Z-1503587	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity-sc-2012-08-15T16:24:51Z-2331	PAIRED	RANDOM	GENOMIC	WGS	6141433	Illumina MiSeq	ILLUMINA	777974400	2593248	5741	Giardia intestinalis	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	Illumina MiSeq paired end sequencing	Pilot_sequencing_of_Giardia_and_Cryptosporidium_diversity	Illumina MiSeq paired end sequencing	This sample has been submitted by Wellcome Sanger Institute on 2012-10-29; Giardia intestinalis	e49fa80dc8cfaf2a978eed4084599c2f;2a08fab76aa299fe9b67c72428cb10f0	312973719;339268726	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311185/ERR311185_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR311/ERR311185/ERR311185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311185/ERR311185_2.fastq.gz	e49fa80dc8cfaf2a978eed4084599c2f	2a08fab76aa299fe9b67c72428cb10f0	FALSE	unknown	unknown
