run,biosample,collection_date,env_biome,genotype,isolate,isolation_source,sample_tittle,sample_type,releasedate,loaddate,spots,bases,spots_with_mates,avglength,size_mb,assemblyname,download_path,experiment,libraryname,librarystrategy,libraryselection,librarysource,librarylayout,platform,model,srastudy,bioproject,sample,taxid,scientificname,samplename,tumor,centername,consent,outbreak_number_sporadic,country_geoloc,region_geoloc,city_geoloc
SRR3177738,SAMN04494398,1985-08-16,giardiasis,A,ATCC30888/13,human,NA,trophozoites,2017-04-30 00:00:53,2016-02-18 15:32:27,4300458,2158829916,4300458,502,1176,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177738/SRR3177738.sralite.1,SRX1592101,ATCC30888:13,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300262,5741,Giardia duodenalis,ATCC:30888,no,UNIVERSITY OF BRITISH COLUMBIA,public,NA,USA,OR,Portland
SRR3177751,SAMN04494400,1992-07-03,giardiasis,A,ATCC50163/89,cat,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 16:03:15,2636709,1323627918,2636709,502,902,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177751/SRR3177751.sralite.1,SRX1592224,ATCC50163:89,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300325,5741,Giardia duodenalis,ATCC:50163,no,UNIVERSITY OF BRITISH COLUMBIA,public,NA,USA,PA,Philadelphia
SRR3177775,SAMN04494401,1992-07-03,giardiasis,A,ATCC50170/93,sheep,NA,trophozoites,2017-04-30 00:00:55,2016-02-18 16:09:12,1888917,948236334,1888917,502,642,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177775/SRR3177775.sralite.1,SRX1592320,ATCC50170:93,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300421,5741,Giardia duodenalis,ATCC:50170,no,UNIVERSITY OF BRITISH COLUMBIA,public,NA,USA,WI,Madison
SRR3177739,SAMN04494399,2014-08-08,giardiasis,A,ATCC50830/120_3,human,NA,trophozoites,2017-04-30 00:00:53,2016-02-18 15:30:31,1842475,924922450,1842475,502,626,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177739/SRR3177739.sralite.1,SRX1592162,ATCC50830:120_3,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300263,5741,Giardia duodenalis,ATCC:50830,no,UNIVERSITY OF BRITISH COLUMBIA,public,NA,USA,NA,Betheda
SRR3177890,SAMN04494402,1987-07-31,watershed,A,B5/19,beaver,NA,trophozoites,2017-04-30 00:00:56,2016-02-18 16:24:47,2363522,1186488044,2363522,502,676,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177890.sralite.1,SRX1592340,B5/19,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300439,5741,Giardia duodenalis,B5/19,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,AB,Calgary
SRR3177932,SAMN04494403,1985-06-08,watershed,A,BE-1(IP-0482:1)/15,beaver,NA,trophozoites,2017-04-30 00:00:57,2016-02-18 16:29:27,1508863,718218788,1508863,476,374,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177932.sralite.1,SRX1592352,BE-1(IP-0482:1)/15,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300452,5741,Giardia duodenalis,BE-1(IP-0482:1)/15,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,AB,Banff
SRR3177951,SAMN04494404,1985-06-08,watershed,A,BE-2(IPO583:1)/14,beaver,NA,trophozoites,2017-04-30 00:00:58,2016-02-18 16:49:06,1967257,987563014,1967257,502,622,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177951.sralite.1,SRX1592392,BE-2(IPO583:1)/14,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300498,5741,Giardia duodenalis,BE-2(IPO583:1)/14,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,CANADA,AB,Banff
SRR3177740,SAMN04494408,1991-06-19,giardiasis,A,HAMILTON7/75,human,NA,trophozoites,2017-04-30 00:00:53,2016-02-18 15:56:41,4284088,2150612176,4284088,502,1393,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177740/SRR3177740.sralite.1,SRX1592163,HAMILTON7/75,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300264,5741,Giardia duodenalis,HAMILTON7/75,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,NEW ZEALAND,North Island,Hamilton
SRR3177741,SAMN04494409,1991-06-19,giardiasis,A,HAMILTON84/76,human,NA,trophozoites,2017-04-30 00:00:53,2016-02-18 15:57:59,2049714,1028956428,2049714,502,697,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177741.sralite.1,SRX1592164,HAMILTON84/76,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300265,5741,Giardia duodenalis,HAMILTON84/76,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,NEW ZEALAND,North Island,Hamilton
SRR3177742,SAMN04494410,1986-09-01,watershed,A,MONASTASHE/6,beaver,NA,trophozoites,2017-04-30 00:00:54,2016-02-18 15:52:39,1806906,860087256,1806906,476,480,NA,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177742.sralite.1,SRX1592165,MONASTASHE/6,WGS,RANDOM,GENOMIC,PAIRED,Illumina,Illumina MiSeq,SRP056976,PRJNA280606,SRS1300266,5741,Giardia duodenalis,MONASTASHE/6,no,UNIVERSITY OF BRITISH COLUMBIA,public,Sporadic,USA,WA,Monastashe River
