final_id,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,isolate,sample_type,lat_lon,isolation_source,HOST,strain,env_biome,genotype,Sample_tittle,tissue,collected_by,sex,Sample_name,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Scientific_Name,Submitter_Id,dev_stage,ArrayExpress-SPECIES,AssemblyName,isol_growth_condt,estimated_size,ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,BIOMATERIAL_PROVIDER,culture_collection,tax_id_x,altitude,Cultivar,Ecotype,type,biotic_relationship,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,AGE,BREED,sample_description_x,isolation-source,health_state,host_body_habitat,host_tissue_sampled,Birth_date,birth_location,breeding_history,breeding_method,sample_comment,id,secondary_study_accession,parent_study,submission_accession,read_count,fastq_md5,fastq_bytes,fastq_ftp,fastq_galaxy,fastq_aspera,fastq_1,fastq_2,md5_1,md5_2,single_end,location,collection_date_year
SRR21529622,SRR21529622,WGS,8303,1162695627,PRJNA879307,SAMN30804753,807633080,ROBERT KOCH-INSTITUT,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX17532008,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P407-E2,SRP396690,2022-09-12T12:52:00Z,1,P407-E2-longReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P407,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529623,SRR21529623,WGS,6192,1033700952,PRJNA879307,SAMN30804752,725755803,ROBERT KOCH-INSTITUT,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17532007,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P064-F7,SRP396690,2022-09-12T12:08:00Z,1,P064-F7-longReads-1,Model organism or animal,2011,Germany,Europe,Germany: Berlin,P064,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529624,SRR21529624,WGS,6039,981429276,PRJNA879307,SAMN30804751,685948507,ROBERT KOCH-INSTITUT,public,"sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX17532006,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P458-E2,SRP396690,2022-09-12T12:43:00Z,1,P458-E2-longReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P458,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529625,SRR21529625,WGS,7055,920451356,PRJNA879307,SAMN30804750,648986967,ROBERT KOCH-INSTITUT,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX17532005,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P427-B2,SRP396690,2022-09-12T13:09:00Z,1,P427-B2-longReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P427,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529626,SRR21529626,WGS,462,302590405,PRJNA879307,SAMN30804752,194499247,ROBERT KOCH-INSTITUT,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17532004,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P064-F7,SRP396690,2022-09-12T12:04:00Z,1,P64-F7-shortReads-2,Model organism or animal,2011,Germany,Europe,Germany: Berlin,P064,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529627,SRR21529627,WGS,464,1428572300,PRJNA879307,SAMN30804752,806170913,ROBERT KOCH-INSTITUT,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17532003,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P064-F7,SRP396690,2022-09-12T12:24:00Z,1,P64-F7-shortReads-1,Model organism or animal,2011,Germany,Europe,Germany: Berlin,P064,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529628,SRR21529628,WGS,6318,787504514,PRJNA879307,SAMN30804749,542523108,ROBERT KOCH-INSTITUT,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX17532002,PacBio RS II,SINGLE,RANDOM,GENOMIC,Giardia duodenalis,PACBIO_SMRT,2022-10-04T00:00:00Z,P424-A5,SRP396690,2022-09-12T12:18:00Z,1,P424-A5-longReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P424,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529629,SRR21529629,WGS,398,456714896,PRJNA879307,SAMN30804751,277878457,ROBERT KOCH-INSTITUT,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17532001,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P458-E2,SRP396690,2022-09-12T12:23:00Z,1,P458-E2-shortReads-2,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P458,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529630,SRR21529630,WGS,402,1721379615,PRJNA879307,SAMN30804751,904154202,ROBERT KOCH-INSTITUT,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX17532000,Illumina HiSeq 2000,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P458-E2,SRP396690,2022-09-12T12:22:00Z,1,P458-E2-shortReads-1,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P458,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR21529631,SRR21529631,WGS,599,290920446,PRJNA879307,SAMN30804750,183485480,ROBERT KOCH-INSTITUT,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX17531999,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia duodenalis,ILLUMINA,2022-10-04T00:00:00Z,P427-B2,SRP396690,2022-09-12T12:08:00Z,1,P427-B2-shortReads-3,Model organism or animal,2014,Germany,Europe,Germany: Berlin,P427,,52.52 N 13.40 E,stool,,,,,,axenic,Christian Klotz,not applicable,,,,,,,,,,,,,trophozoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
