Run,BioSample,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,collection_date,env_biome,env_feature,env_material,estimated_size,gap_accession,gap_consent_code,gap_consent_short_name,gap_parent_phs,gap_sample_id,gap_subject_id,genotype,geo_loc_name,histological_type,host,is_tumor,isol_growth_condt,isolate,isolation_source,lat_lon,molecular_data_type,num_replicons,ploidy,propagation,sample_title,sample_tittle,sample_type,sex,strain,study_design,study_disease,study_name,subject_is_affected,submitted_sample_id,submitted_subject_id,submitter_handle,tissue,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3177738,SAMN04494398,,,,,1985-08-16,giardiasis,,,,,,,,,,A,USA:Portland,,,,,ATCC30888/13,human,45.52 N 122.68 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:53,2016-02-18 15:32:27,4300458,2158829916,4300458,502,1176,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177738/SRR3177738.sralite.1,SRX1592101,ATCC30888:13,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300262,simple,5741,Giardia duodenalis,ATCC:30888,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,B2FB32C6D13256EAADFD1980A77C3541,FAF0AD0B745A94EB5494204676A4F904
SRR3177751,SAMN04494400,,,,,1992-07-03,giardiasis,,,,,,,,,,A,USA:Philadelphia,,,,,ATCC50163/89,cat,39.95 N 75.17 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:54,2016-02-18 16:03:15,2636709,1323627918,2636709,502,902,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177751/SRR3177751.sralite.1,SRX1592224,ATCC50163:89,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300325,simple,5741,Giardia duodenalis,ATCC:50163,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,2B0DA969D8A60A6EBB7857F59343A975,DF9A78D6744F49314E310DBA4D5FD342
SRR3177775,SAMN04494401,,,,,1992-07-03,giardiasis,,,,,,,,,,A,USA:Madison,,,,,ATCC50170/93,sheep,43.07 N 89.40 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:55,2016-02-18 16:09:12,1888917,948236334,1888917,502,642,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177775/SRR3177775.sralite.1,SRX1592320,ATCC50170:93,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300421,simple,5741,Giardia duodenalis,ATCC:50170,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,D2835A990DD3DBD9EE1B1DC2F91918FC,C24B01F0345FAAA44E4EE9CD3C346A8D
SRR3177739,SAMN04494399,,,,,2014-08-08,giardiasis,,,,,,,,,,A,USA:Betheda,,,,,ATCC50830/120_3,human,38.98 N 77.09 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:53,2016-02-18 15:30:31,1842475,924922450,1842475,502,626,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177739/SRR3177739.sralite.1,SRX1592162,ATCC50830:120_3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300263,simple,5741,Giardia duodenalis,ATCC:50830,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,7975F5E3FA7AB222086229F8BAAF366C,8CA5AF56A350E1E906CF036CE02DAD4C
SRR3177890,SAMN04494402,,,,,1987-07-31,watershed,,,,,,,,,,A,Canada: Calgary,,,,,B5/19,BEAVER,51.05 N 114.07 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:56,2016-02-18 16:24:47,2363522,1186488044,2363522,502,676,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177890.sralite.1,SRX1592340,B5/19,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300439,simple,5741,Giardia duodenalis,B5/19,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,9EA7E8F5B5D07E017E5379ED43762188,3AFD51BB65EEC6A81441EC94C1FCDCD9
SRR3177932,SAMN04494403,,,,,1985-06-08,watershed,,,,,,,,,,A,Canada: Banff,,,,,BE-1(IP-0482:1)/15,BEAVER,51.17 N 115.57 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:57,2016-02-18 16:29:27,1508863,718218788,1508863,476,374,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177932.sralite.1,SRX1592352,BE-1(IP-0482:1)/15,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300452,simple,5741,Giardia duodenalis,BE-1(IP-0482:1)/15,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,D8AE7E5C3463686E48111B52B2F01AFF,187FD55E69832B5F66DFD3E6AFAAEB5A
SRR3177951,SAMN04494404,,,,,1985-06-08,watershed,,,,,,,,,,A,Canada: Banff,,,,,BE-2(IPO583:1)/14,BEAVER,51.17 N 115.57 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:58,2016-02-18 16:49:06,1967257,987563014,1967257,502,622,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177951.sralite.1,SRX1592392,BE-2(IPO583:1)/14,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300498,simple,5741,Giardia duodenalis,BE-2(IPO583:1)/14,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,3A56B6124C2CBB535863110495931817,B206C05B11E9EF57801B6CC37080DCFA
SRR3177740,SAMN04494408,,,,,1991-06-19,giardiasis,,,,,,,,,,A,New Zealand: Hamilton,,,,,HAMILTON7/75,human,37.78 S 175.28 E,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:53,2016-02-18 15:56:41,4284088,2150612176,4284088,502,1393,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/177/SRR3177740/SRR3177740.sralite.1,SRX1592163,HAMILTON7/75,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300264,simple,5741,Giardia duodenalis,HAMILTON7/75,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,979BDDAB91324FEF042105CF4AB7A0EC,FBF332C7B360B5DD44DC548760168D42
SRR3177741,SAMN04494409,,,,,1991-06-19,giardiasis,,,,,,,,,,A,New Zealand: Hamilton,,,,,HAMILTON84/76,human,37.78 S 175.28 E,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:53,2016-02-18 15:57:59,2049714,1028956428,2049714,502,697,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177741.sralite.1,SRX1592164,HAMILTON84/76,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300265,simple,5741,Giardia duodenalis,HAMILTON84/76,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,E0C20859BD8B6DF641E99AEFD6D32777,0BDC38260E03E08F92E18DC66D7A6606
SRR3177742,SAMN04494410,,,,,1986-09-01,watershed,,,,,,,,,,A,USA:Monastashe River,,,,,MONASTASHE/6,BEAVER,46.86 N 120.35 W,,,,,"Giardia samples from human, animal and water in BCCDC",,trophozoites,,,,,,,,,,,2017-04-30 00:00:54,2016-02-18 15:52:39,1806906,860087256,1806906,476,480,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/177/SRR3177742.sralite.1,SRX1592165,MONASTASHE/6,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP056976,PRJNA280606,,280606,SRS1300266,simple,5741,Giardia duodenalis,MONASTASHE/6,,,,,,,no,,,,,UNIVERSITY OF BRITISH COLUMBIA,SRA355098,,public,5729D903125A5824E6EF5ECF5D5CDC04,A7BCBFA19E06E3406F934B945B7548E2
