Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Library Name,BioSampleModel,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolate,Lat_Lon,Isolation_Source,Sample_Type,env_biome,Genotype,TISSUE,sex,Sample_name,collected_by,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Submitter_Id,dev_stage,Strain,ArrayExpress-SPECIES,AssemblyName,Host,isol_growth_condt,estimated_size,Ploidy,env_feature,env_material,num_replicons,propagation,env_broad_scale,env_local_scale,env_medium,BARCODE,GEO_Accession (exp),source_name,CULTURE_COLLECTION,Tax_ID,Type,Altitude,biotic_relationship,Cultivar,Ecotype,host_body_product,Host_disease,host_genotype,host_scientific_name,host_taxid,pathogenicity,samp_mat_process,trophic_level,Sample_Description,Age,BIOMATERIAL_PROVIDER,BREED,isolation-source,health_state,host_body_habitat,host_tissue_sampled,sample_comment
SRR10007607,WGS,556,576465347,PRJNA561185,SAMN12610744,380632664,UNIVERSITY OF CALGARY,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6745910,Illumina MiSeq,PAIRED,unspecified,GENOMIC,Giardia intestinalis,ILLUMINA,2020-09-19T00:00:00Z,2019-08-21T01:07:00Z,1,Giardia beaver,SRP218927,218,"Microbe\, viral or environmental",Missing,uncalculated,uncalculated,Missing,,,missing,Cell culture,,,,,,,,,,,,,,,,,,,beaver,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10007609,WGS,8285,3165598307,PRJNA561185,SAMN12610744,2805368098,UNIVERSITY OF CALGARY,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX6745908,MinION,SINGLE,unspecified,GENOMIC,Giardia intestinalis,OXFORD_NANOPORE,2020-09-19T00:00:00Z,2019-08-21T01:17:00Z,1,Giardia beaver,SRP218927,2309,"Microbe\, viral or environmental",Missing,uncalculated,uncalculated,Missing,,,missing,Cell culture,,,,,,,,,,,,,,,,,,,beaver,,,Beaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10007650,WGS,578,588063931,PRJNA561185,SAMN12611509,376799150,UNIVERSITY OF CALGARY,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6745954,Illumina MiSeq,PAIRED,unspecified,GENOMIC,Giardia intestinalis,ILLUMINA,2020-09-19T00:00:00Z,2019-08-21T01:07:00Z,1,Giardia AWB,SRP218927,106,"Microbe\, viral or environmental",missing,uncalculated,uncalculated,missing,,,,cell culture,,,,,,,,,,,,,,,,,,,WB,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10007652,WGS,7205,2367530512,PRJNA561185,SAMN12611509,2072414083,UNIVERSITY OF CALGARY,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX6745952,MinION,SINGLE,unspecified,GENOMIC,Giardia intestinalis,OXFORD_NANOPORE,2020-09-19T00:00:00Z,2019-08-21T01:16:00Z,1,Giardia AWB,SRP218927,0157,"Microbe\, viral or environmental",missing,uncalculated,uncalculated,missing,,,,cell culture,,,,,,,,,,,,,,,,,,,WB,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10007722,WGS,292,487421538,PRJNA561185,SAMN12611599,151798512,UNIVERSITY OF CALGARY,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX6746024,Illumina iSeq 100,PAIRED,unspecified,GENOMIC,Giardia intestinalis,ILLUMINA,2020-09-19T00:00:00Z,2019-08-21T01:08:00Z,1,Giardia BGS,SRP218927,GS-iSeq,"Microbe\, viral or environmental",missing,uncalculated,uncalculated,missing,,,,cell culture,,,,,,,,,,,,,,,,,,,GS,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10007724,WGS,9442,8335004787,PRJNA561185,SAMN12611599,7319059229,UNIVERSITY OF CALGARY,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6746022,MinION,SINGLE,unspecified,GENOMIC,Giardia intestinalis,OXFORD_NANOPORE,2020-09-19T00:00:00Z,2019-08-21T01:17:00Z,1,Giardia BGS,SRP218927,2244,"Microbe\, viral or environmental",missing,uncalculated,uncalculated,missing,,,,cell culture,,,,,,,,,,,,,,,,,,,GS,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR422653,WGS,300,463644000,PRJEB3213,SAMEA2248445,233897875,SC,public,"cram,sra,run.zq","gs,ncbi,s3,ena","gs.US,s3.us-east-1,ena,ncbi.public",ERX388946,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2014-05-14T00:00:00Z,2014-04-12T02:02:00Z,1,SAMEA2248445,ERP001716,8637076,,,,,,,,,,,,,,1F_Gd-sc-1766386,,2014-02-04,2014-02-04,2018-11-16,2018-03-09,SAMEA2248445,SC,Wellcome Sanger Institute,2014-02-04T09:16:56Z,2018-03-09T10:31:40Z,public,1F_Gd-sc-1766386,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR422654,WGS,300,535994400,PRJEB3213,SAMEA2248446,269059528,SC,public,"cram,run.zq,sra","ena,s3,gs,ncbi","s3.us-east-1,ena,ncbi.public,gs.US",ERX388947,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2014-05-14T00:00:00Z,2014-04-12T02:03:00Z,1,SAMEA2248446,ERP001716,8637077,,,,,,,,,,,,,,1C_Gd-sc-1766387,,2014-02-04,2014-02-04,2018-11-16,2018-03-09,SAMEA2248446,SC,Wellcome Sanger Institute,2014-02-04T09:16:56Z,2018-03-09T10:32:00Z,public,1C_Gd-sc-1766387,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR422655,WGS,300,456847500,PRJEB3213,SAMEA2248447,223116863,SC,public,"sra,run.zq,cram","ncbi,ena,gs,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERX388948,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2014-05-14T00:00:00Z,2014-04-12T02:02:00Z,1,SAMEA2248447,ERP001716,8637078,,,,,,,,,,,,,,5C_Gd-sc-1766388,,2014-02-04,2014-02-04,2018-11-16,2018-03-09,SAMEA2248447,SC,Wellcome Sanger Institute,2014-02-04T09:16:56Z,2018-03-09T10:31:44Z,public,5C_Gd-sc-1766388,,,Giardia intestinalis,GCA_000002435.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR422656,WGS,300,493002300,PRJEB3213,SAMEA2248448,246667033,SC,public,"sra,run.zq,cram","ena,s3,ncbi,gs","ncbi.public,s3.us-east-1,ena,gs.US",ERX388949,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Giardia intestinalis,ILLUMINA,2014-05-14T00:00:00Z,2014-04-12T02:03:00Z,1,SAMEA2248448,ERP001716,8637079,,,,,,,,,,,,,,6F_Gd-sc-1766389,,2014-02-04,2014-02-04,2018-11-16,2018-03-09,SAMEA2248448,SC,Wellcome Sanger Institute,2014-02-04T09:16:56Z,2018-03-09T10:31:40Z,public,6F_Gd-sc-1766389,,,Giardia intestinalis,assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
