	ERX284466_ERR311185	ERX284470_ERR311189	ERX284472_ERR311191	ERX388947_ERR422654	ERX388948_ERR422655	SAMN12610744	SAMN12611509	SRX1144605_SRR2168393	SRX1154245_SRR2158266	SRX1592101_SRR3177738	SRX1592162_SRR3177739	SRX1592163_SRR3177740	SRX1592164_SRR3177741	SRX1592165_SRR3177742	SRX1592166_SRR3177743	SRX1592171_SRR3177744	SRX1592177_SRR3177745	SRX1592186_SRR3177746	SRX1592214_SRR3177750	SRX1592224_SRR3177751	SRX1592230_SRR3177752	SRX1592245_SRR3177753	SRX1592271_SRR3177757	SRX1592280_SRR3177759	SRX1592286_SRR3177760	SRX1592295_SRR3177763	SRX1592307_SRR3177765	SRX1592314_SRR3177768	SRX1592320_SRR3177775	SRX1592323_SRR3177790	SRX1592325_SRR3177803	SRX1592328_SRR3177805	SRX1592336_SRR3177862	SRX1592340_SRR3177890	SRX1592341_SRR3177900	SRX1592343_SRR3177903	SRX1592345_SRR3177919	SRX1592347_SRR3177927	SRX1592348_SRR3177928	SRX1592349_SRR3177929	SRX1592350_SRR3177930	SRX1592352_SRR3177932	SRX1592354_SRR3177934	SRX1592355_SRR3177935	SRX1592356_SRR3177936	SRX1592357_SRR3177937	SRX1592358_SRR3177946	SRX1592368_SRR3177947	SRX1592380_SRR3177949	SRX1592388_SRR3177950	SRX1592392_SRR3177951	SRX1592415_SRR3177974	SRX1592419_SRR3177990	SRX1592425_SRR3178009	SRX1592426_SRR3178010	SRX1592436_SRR3178016	SRX1592437_SRR3178017	SRX1592440_SRR3178018	SRX982618_SRR1957168	SRX982619_SRR1957169	SRX982621_SRR1957171	SRX982624_SRR1957174	SRX982625_SRR1957175	SRX982628_SRR1957178
ERX284466_ERR311185	0.0	0.99141	0.99141	0.99141	0.99141	0.99108	0.99141	1.0	1.0	0.99141	0.99141	0.99141	0.99141	0.99141	0.99141	0.99141	0.45905	0.99141	0.39828	0.99075	0.42933	0.45509	0.99174	0.99141	0.99141	0.99967	0.99141	0.99141	0.99141	0.99141	0.99141	0.99141	1.0	0.99141	0.43065	1.0	0.99075	0.99141	1.0	1.0	1.0	0.99141	1.0	0.99141	1.0	1.0	0.99141	1.0	0.99141	0.48085	0.99141	1.0	0.49273	1.0	0.99141	0.99141	0.99141	0.99141	0.43527	0.99141	1.0	0.99141	0.99141	1.0
ERX284470_ERR311189	0.99141	0.0	0.0	0.0	0.0	0.98151	0.97391	0.99967	0.99967	1.0	0.99901	0.99967	0.99934	0.99934	0.99967	0.99934	0.99604	1.0	0.99835	0.99901	0.99571	0.99604	0.9607	1.0	0.99901	0.99273	1.0	0.99934	0.99967	1.0	1.0	0.99901	0.99934	0.99967	0.99769	0.99967	0.99934	0.99967	0.97193	1.0	1.0	1.0	1.0	0.99967	1.0	0.99967	0.99967	1.0	1.0	0.9607	1.0	1.0	0.99538	0.99868	0.99934	0.99901	0.99901	1.0	0.9782	0.99934	0.99967	1.0	0.99967	0.99967
ERX284472_ERR311191	0.99141	0.0	0.0	0.0	0.0	0.98151	0.97391	0.99967	0.99967	1.0	0.99901	0.99967	0.99934	0.99934	0.99967	0.99934	0.99604	1.0	0.99835	0.99901	0.99571	0.99604	0.9607	1.0	0.99901	0.99273	1.0	0.99934	0.99967	1.0	1.0	0.99901	0.99934	0.99967	0.99769	0.99967	0.99934	0.99967	0.97193	1.0	1.0	1.0	1.0	0.99967	1.0	0.99967	0.99967	1.0	1.0	0.9607	1.0	1.0	0.99538	0.99868	0.99934	0.99901	0.99901	1.0	0.9782	0.99934	0.99967	1.0	0.99967	0.99967
ERX388947_ERR422654	0.99141	0.0	0.0	0.0	0.0	0.98151	0.97391	0.99967	0.99967	1.0	0.99901	0.99967	0.99934	0.99934	0.99967	0.99934	0.99604	1.0	0.99835	0.99901	0.99571	0.99604	0.9607	1.0	0.99901	0.99273	1.0	0.99934	0.99967	1.0	1.0	0.99901	0.99934	0.99967	0.99769	0.99967	0.99934	0.99967	0.97193	1.0	1.0	1.0	1.0	0.99967	1.0	0.99967	0.99967	1.0	1.0	0.9607	1.0	1.0	0.99538	0.99868	0.99934	0.99901	0.99901	1.0	0.9782	0.99934	0.99967	1.0	0.99967	0.99967
ERX388948_ERR422655	0.99141	0.0	0.0	0.0	0.0	0.98151	0.97391	0.99967	0.99967	1.0	0.99901	0.99967	0.99934	0.99934	0.99967	0.99934	0.99604	1.0	0.99835	0.99901	0.99571	0.99604	0.9607	1.0	0.99901	0.99273	1.0	0.99934	0.99967	1.0	1.0	0.99901	0.99934	0.99967	0.99769	0.99967	0.99934	0.99967	0.97193	1.0	1.0	1.0	1.0	0.99967	1.0	0.99967	0.99967	1.0	1.0	0.9607	1.0	1.0	0.99538	0.99868	0.99934	0.99901	0.99901	1.0	0.9782	0.99934	0.99967	1.0	0.99967	0.99967
SAMN12610744	0.99108	0.98151	0.98151	0.98151	0.98151	0.0	0.10337	1.0	1.0	0.05086	0.05416	0.05152	0.05152	0.05119	0.05086	0.05053	0.99141	0.05053	0.99141	0.73877	0.99075	0.99141	0.08851	0.05053	0.05218	1.0	0.05053	0.05218	0.0502	0.05119	0.05152	0.05185	1.0	0.05053	0.99075	1.0	0.81308	0.05152	1.0	1.0	1.0	0.05086	1.0	0.05086	1.0	1.0	0.05053	1.0	0.0502	0.99273	0.0502	1.0	0.99207	0.99967	0.05218	0.05416	0.05449	0.05086	0.99108	0.05086	1.0	0.05152	0.05119	1.0
SAMN12611509	0.99141	0.97391	0.97391	0.97391	0.97391	0.10337	0.0	1.0	1.0	0.06737	0.06572	0.06737	0.06803	0.0677	0.0677	0.06704	0.99141	0.06704	0.99141	0.74604	0.99108	0.99141	0.10403	0.06737	0.06869	1.0	0.0677	0.06902	0.06605	0.0677	0.06836	0.06836	1.0	0.06704	0.99108	1.0	0.81506	0.06671	1.0	1.0	1.0	0.06737	1.0	0.06737	1.0	1.0	0.0677	1.0	0.06737	0.99306	0.0677	1.0	0.99207	0.99967	0.0677	0.07067	0.07001	0.0677	0.99141	0.06638	1.0	0.06869	0.06836	1.0
SRX1144605_SRR2168393	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.0	0.01321	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94155	1.0	1.0	1.0	1.0	1.0	1.0	0.92933	1.0	1.0	0.60997	1.0	1.0	0.6354	0.69683	0.69749	1.0	0.6889	1.0	0.61096	0.60997	1.0	0.0317	1.0	1.0	1.0	0.61262	1.0	0.61295	1.0	1.0	1.0	1.0	1.0	1.0	0.03236	1.0	1.0	0.03203
SRX1154245_SRR2158266	1.0	0.99967	0.99967	0.99967	0.99967	1.0	1.0	0.01321	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94122	1.0	1.0	1.0	1.0	1.0	1.0	0.929	1.0	1.0	0.60931	1.0	1.0	0.63573	0.69386	0.69452	1.0	0.69188	1.0	0.61096	0.61063	1.0	0.03104	1.0	1.0	1.0	0.61063	1.0	0.61096	1.0	1.0	1.0	1.0	1.0	1.0	0.03369	1.0	1.0	0.03137
SRX1592101_SRR3177738	0.99141	1.0	1.0	1.0	1.0	0.05086	0.06737	1.0	1.0	0.0	0.00462	0.00297	0.0033	0.00165	0.00198	0.00132	0.99108	0.00033	0.99174	0.73052	0.99075	0.99108	0.04194	0.00297	0.00363	1.0	0.00165	0.00462	0.00429	0.00297	0.00099	0.00429	1.0	0.00165	0.99075	1.0	0.80647	0.0033	1.0	1.0	1.0	0.00165	1.0	0.00231	1.0	1.0	0.00165	1.0	0.00132	0.99273	0.00099	1.0	0.99273	1.0	0.00396	0.0076	0.00627	0.00264	0.99108	0.00297	1.0	0.00264	0.00363	1.0
