	t-SNE-1	t-SNE-2	hdbscan	cluster
ERX284470_ERR311189.fna	-0.47609207	-0.29099488	-1	
ERX284472_ERR311191.fna	0.797221	0.25336307	-1	
ERX388947_ERR422654.fna	1.2021971	0.23594868	-1	
ERX388948_ERR422655.fna	-1.0376168	-0.04070176	-1	
SRX1592224_SRR3177751.fna	0.1317383	-0.43614048	0	0.0
SRX1592437_SRR3178017.fna	0.21969569	-0.41318098	0	0.0
SRX982624_SRR1957174.fna	0.21956211	-0.43475097	0	0.0
SRX1592358_SRR3177946.fna	0.21480508	-0.39742857	0	0.0
SAMN12610744.fna	0.21243122	-0.43887982	0	0.0
SRX982625_SRR1957175.fna	0.21967202	-0.4342959	0	0.0
SRX1592166_SRR3177743.fna	0.21582463	-0.40225568	0	0.0
SRX1592341_SRR3177900.fna	0.060180556	-0.46533832	0	0.0
SRX1592345_SRR3177919.fna	0.18802874	-0.44025496	0	0.0
SRX1592101_SRR3177738.fna	0.21970473	-0.43472221	0	0.0
SRX1592388_SRR3177950.fna	0.06403434	-0.45407853	0	0.0
SRX1592419_SRR3177990.fna	0.06299571	-0.44633704	0	0.0
SRX1592436_SRR3178016.fna	0.2183813	-0.42462888	0	0.0
SRX1592307_SRR3177765.fna	0.21983388	-0.43498504	0	0.0
SRX1592320_SRR3177775.fna	0.21788011	-0.42516857	0	0.0
SRX1592426_SRR3178010.fna	0.19647557	-0.43946645	0	0.0
SRX1592230_SRR3177752.fna	0.060357444	-0.46541578	0	0.0
ERX284466_ERR311185.fna	0.39895043	-0.39039838	0	0.0
SRX1592214_SRR3177750.fna	0.0646783	-0.43947387	0	0.0
SRX1592325_SRR3177803.fna	0.21895887	-0.4081069	0	0.0
SRX1592314_SRR3177768.fna	0.21843569	-0.42466328	0	0.0
SRX1592392_SRR3177951.fna	0.21846539	-0.4352359	0	0.0
SRX1154245_SRR2158266.fna	0.003267106	0.5810917	1	1.0
SRX1592415_SRR3177974.fna	-0.0075690104	0.5863021	1	1.0
SRX1592425_SRR3178009.fna	-0.0072429245	0.5838017	1	1.0
SRX1592336_SRR3177862.fna	-0.00055804226	0.58939195	1	1.0
SRX982628_SRR1957178.fna	0.004143043	0.5721931	1	1.0
SRX1592357_SRR3177937.fna	-0.0065607345	0.5789568	1	1.0
SRX1592349_SRR3177929.fna	-0.15603268	0.55428725	1	1.0
SRX1592295_SRR3177763.fna	0.0011798929	0.58912736	1	1.0
SRX1144605_SRR2168393.fna	0.004101552	0.5723346	1	1.0
SRX1592368_SRR3177947.fna	0.0032425171	0.5811576	1	1.0
SRX1592348_SRR3177928.fna	0.0025863673	0.58142173	1	1.0
SRX1592356_SRR3177936.fna	-0.006279425	0.57892084	1	1.0
SRX1592354_SRR3177934.fna	0.003127489	0.58071417	1	1.0
SRX982621_SRR1957171.fna	0.0031003584	0.58001655	1	1.0
SRX1592343_SRR3177903.fna	0.0027639726	0.581956	1	1.0
SRX1592350_SRR3177930.fna	0.0020572855	0.5805382	1	1.0
SRX1592414_SRR3177962.fna	-0.010476138	0.5936281	1	1.0
SRX1592335_SRR3177858.fna	0.0065390645	0.57019114	1	1.0
SRX982626_SRR1957176.fna	0.0020122274	0.5865952	1	1.0
SRX1592207_SRR3177748.fna	0.0022078033	0.57988805	1	1.0
